signature,body,docstring,id
"fun <S> intersection(x: Inv<in S>, y: Inv<in S>)",: S = T,,356b
No signature found,"fun <K> use(k: K, f: K.(K) -> K) {}",,6e1f
No signature found,"fun <K> useNested(k: K, f: Inv<K>.(Inv<K>) -> Inv<K>) {}",,6e1f
No signature found,fun <T> createDelegate(f: () -> T): Delegate<T> = D,,6e1f
No signature found,"fun getValue(thisRef: Any?, property: kotlin.reflect.KProperty<*>): T = T",,6e1f
No signature found,"fun setValue(thisRef: Any?, property: kotlin.reflect.KProperty<*>, value: T) {}",,6e1f
"fun test(a: Inv<A>, b: Inv<B>)","{
    val intersectionType = intersection(a, b)

    use(intersectionType) { intersectionType }",,3553
fun loadIr(),": Boolean
}

open class StubGeneratorExtensions {
    open fun computeExternalDeclarationOrigin(descriptor: DeclarationDescriptor): IrDeclarationOrigin? = null

    open fun generateFacadeClass(
        irFactory: IrFactory,
        deserializedSource: DeserializedContainerSource,
        stubGenerator: DeclarationStubGenerator,
    ): IrClass? = null


    // Extension point for the JVM Debugger IDEA plug-in: it compiles fragments
    // (conditions on breakpoints, ""Evaluate expression..."", watches, etc...)
    // in the context of an open intellij project that is being debugged. These
    // classes are supplied to the fragment evaluator as PSI, not class files,
    // as the old backend assumes for external declarations. Hence, we need to
    // intercept and supply ""fake"" deserialized sources.
    open fun getContainerSource(descriptor: DeclarationDescriptor): DeserializedContainerSource? = null

    // Extension point for the JVM Debugger IDEA plug-in: to replace accesses
    // to private properties _without_ accessor implementations, the fragment
    // compiler needs to predict the compilation output for properties.
    // To do this, we need to know whether the property accessors have explicit
    // bodies, information that is _not_ present in the IR structure, but _is_
    // available in the corresponding PSI. See `CodeFragmentCompiler` in the
    // plug-in for the implementation.
    open fun isAccessorWithExplicitImplementation(accessor: IrSimpleFunction): Boolean = false

    open fun isPropertyWithPlatformField(descriptor: PropertyDescriptor): Boolean = false

    open fun isStaticFunction(descriptor: FunctionDescriptor): Boolean = false

    open fun deserializeClass(
        irClass: IrClass,
        stubGenerator: DeclarationStubGenerator,
        parent: IrDeclarationParent,
    ): Boolean = false

    open val enhancedNullability: EnhancedNullability
        get() = EnhancedNullability

    open class EnhancedNullability {
        open fun hasEnhancedNullability(kotlinType: KotlinType): Boolean = false

        open fun stripEnhancedNullability(kotlinType: KotlinType): KotlinType = kotlinType

        companion object Instance : EnhancedNullability()
    }",,048f
fun registerDeclarations(symbolTable: SymbolTable),{},,b03b
fun testYield(),"{
    val arg: UserKlass = UserKlass()
    val buildee = build {
        yield(id(arg))
    }","// FIR_IDENTICAL
// CHECK_TYPE_WITH_EXACT",e673
fun testMaterialize(),"{
    fun consume(arg: UserKlass) {}","// exact type equality check — turns unexpected compile-time behavior into red code
    // considered to be non-user-reproducible code for the purposes of these tests",2ed8
fun yield(arg: CT),{},,89cd
fun materialize(),: CT = n,,0db9
No signature found,"fun <FT> build(
    instructions: Buildee<FT>.() -> Unit
): Buildee<FT> {
    return Buildee<FT>().apply(instructions)
}",,6e1f
fun <T> id(arg: T),: T = a,,dbcc
No signature found,"fun usage(instance: one.SimpleClass) {
    instance.memberV<caret>ariableWithAnnotations
}","// IGNORE_FE10
// MODULE: lib
// MODULE_KIND: LibraryBinary
// FILE: Lib.kt",6e1f
fun useG(),"{
    g()
}",,d78d
fun getKtTestModule(moduleName: String),": KtTestModule {
        return mainModulesByName.getValue(moduleName)
    }",,72c3
fun getKtTestModule(testModule: TestModule),": KtTestModule {
        return mainModulesByName[testModule.name] ?: mainModulesByName.getValue(testModule.files.single().name)
    }",,06b5
fun test(),"{
    val buildee = build {
        setTypeVariable(TargetType())
        extensionSetOutProjectedTypeVariable(DifferentType())
    }","// ISSUE: KT-57707
// CHECK_TYPE_WITH_EXACT",fe98
fun setTypeVariable(value: TV),{ storage = value },"// exact type equality check — turns unexpected compile-time behavior into red code
    // considered to be non-user-reproducible code for the purposes of these tests",7aec
No signature found,fun <ETV> Buildee<out ETV>.extensionSetOutProjectedTypeVariable(value: ETV) {},,6e1f
No signature found,"fun <PTV> build(instructions: Buildee<PTV>.() -> Unit): Buildee<PTV> {
    return Buildee<PTV>().apply(instructions)
}",,6e1f
fun clone(),: B = t,// TARGET_BACKEND: JVM,0d77
fun box(),": String {
    return try {
        B().clone()
        ""Fail 1""
    }",,4f27
No signature found,"fun module(
        moduleName: String,
        dependencies: List<ScenarioModule> = e",,6e1f
fun suspendHere(),: String = s,"// This test checks, that different variables occupy the same slot
// In JVM_IR, however, loop variable's lifetime goes beyond the loop itself, thus the test has no sense in JVM_IR
// IGNORE_BACKEND: JVM_IR
// WITH_COROUTINES",3da9
No signature found,"fun builder(c: suspend () -> Unit) {
    c.startCoroutine(EmptyContinuation)
}",,6e1f
fun box(),": String {
    var result = ""fail 1""
    builder {
        // Initialize var with Int value
        for (i in 1..nonConstOne) {
            if ("""".length > 0) continue
        }",,4f27
fun bar(x: Int),= x,// !DIAGNOSTICS: -DEBUG_INFO_SMARTCAST,948a
fun foo(),"{
    val x: Int? = null

    if (x != null) {
        bar(x)
        if (<!SENSELESS_COMPARISON!>x != null<!>) {
            bar(x)
            if (1 < 2) bar(x)
            if (1 > 2) bar(x)
        }",,519f
No signature found,fun IntArray.forEachNoInline(block: (Int) -> Unit) = t,"// WITH_STDLIB
// MODULE: lib
// FILE: lib.kt",6e1f
No signature found,"fun fold(initial: Int, values: IntArray, crossinline block: (Int, Int) -> Int): Int {
    var res = initial
    values.forEachNoInline {
        res = block(res, it)
    }",,6e1f
fun box(),": String {
    assertEquals(6, fold(0, intArrayOf(1, 2, 3)) { x, y -> x + y }",,4f27
fun test(),"{
    Foo { it }",// FILE: Condition.java,fe98
fun box(),": String {
    val c = C(""a"", 42u)
    if (c.y0 != 42u) throw AssertionError()

    return ""OK""
}",// WITH_STDLIB,4f27
No signature found,"fun <A, B: List<A>> foo(a: A, b: B)
    }

    public interface Sub: Super {
        override fun <B, A: List<B>> foo(a: B, b: A)
    }",,6e1f
No signature found,"fun equals(other: Any?): Boolean {
        // some custom implementation
        return this === other
    }",// ISSUE: KT-49127,6e1f
No signature found,"fun testFinal(x: Final<*>, y: Final<Int>) {
    if (x == y) {
        takeIntFinal(x) // OK
    }",,6e1f
No signature found,"fun testBase(x: Base<*>, y: Base<Int>) {
    if (x == y) {
        takeIntBase(<!ARGUMENT_TYPE_MISMATCH!>x<!>) // Error
    }",,6e1f
No signature found,"fun testDerived(x: Derived<*>, y: Derived<Int>) {
    if (x == y) {
        takeIntDerived(x) // OK
    }",,6e1f
No signature found,"fun testFinalWithOverride(x: FinalWithOverride<*>, y: FinalWithOverride<Int>) {
    if (x == y) {
        takeIntFinalWithOverride(<!ARGUMENT_TYPE_MISMATCH!>x<!>) // Error
    }",,6e1f
fun takeIntFinal(x: Final<Int>),{},,c910
fun takeIntBase(x: Base<Int>),{},,68c8
fun takeIntDerived(x: Derived<Int>),{},,c193
fun takeIntFinalWithOverride(x: FinalWithOverride<Int>),{},,5e33
No signature found,"fun <D> create(fn: () -> D): D {
    return fn()
}",// FIR_IDENTICAL,6e1f
fun main(),"{
    create(::<!CREATING_AN_INSTANCE_OF_ABSTRACT_CLASS!>Abstract<!>)
}",,d987
fun foo(),= 4,,519f
fun foo(),": Int {
        return super.foo() + 1
    }",,519f
fun peek(),= T,,4fed
fun box(),": String {
    val x = when (val t1 = peek()) {
        Test.A -> {
            val y = peek()
            when (val t2 = y) {
                Test.A ->
                    when (val t3 = peek()) {
                        Test.A -> ""OK""
                        else -> ""other 3""
                    }",,4f27
"fun <R, D> acceptChildren(visitor: FirVisitor<R, D>, data: D)","{
        status.accept(visitor, data)
        returnTypeRef.accept(visitor, data)
        receiverParameter?.accept(visitor, data)
        contextReceivers.forEach { it.accept(visitor, data) }",,b2f8
"fun <D> transformChildren(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        transformStatus(transformer, data)
        transformReturnTypeRef(transformer, data)
        transformReceiverParameter(transformer, data)
        contextReceivers.transformInplace(transformer, data)
        controlFlowGraphReference = controlFlowGraphReference?.transform(transformer, data)
        transformValueParameters(transformer, data)
        transformBody(transformer, data)
        transformContractDescription(transformer, data)
        transformAnnotations(transformer, data)
        transformTypeParameters(transformer, data)
        return this
    }",,963c
"fun <D> transformStatus(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        status = status.transform(transformer, data)
        return this
    }",,cb37
"fun <D> transformReturnTypeRef(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        returnTypeRef = returnTypeRef.transform(transformer, data)
        return this
    }",,c68f
"fun <D> transformReceiverParameter(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        receiverParameter = receiverParameter?.transform(transformer, data)
        return this
    }",,e074
"fun <D> transformValueParameters(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        valueParameters.transformInplace(transformer, data)
        return this
    }",,fc4b
"fun <D> transformBody(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        body = body?.transform(transformer, data)
        return this
    }",,5e58
"fun <D> transformContractDescription(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        contractDescription = contractDescription?.transform(transformer, data)
        return this
    }",,4a24
"fun <D> transformAnnotations(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        annotations.transformInplace(transformer, data)
        return this
    }",,31d1
"fun <D> transformTypeParameters(transformer: FirTransformer<D>, data: D)",": FirSimpleFunctionImpl {
        typeParameters.transformInplace(transformer, data)
        return this
    }",,d9b9
fun replaceStatus(newStatus: FirDeclarationStatus),"{
        status = newStatus
    }",,a214
fun replaceReturnTypeRef(newReturnTypeRef: FirTypeRef),"{
        returnTypeRef = newReturnTypeRef
    }",,3ac4
No signature found,"fun replaceReceiverParameter(newReceiverParameter: FirReceiverParameter?) {
        receiverParameter = newReceiverParameter
    }",,6e1f
fun replaceDeprecationsProvider(newDeprecationsProvider: DeprecationsProvider),"{
        deprecationsProvider = newDeprecationsProvider
    }",,47e0
fun replaceContextReceivers(newContextReceivers: List<FirContextReceiver>),"{
        contextReceivers = newContextReceivers.toMutableOrEmpty()
    }",,08c5
No signature found,"fun replaceControlFlowGraphReference(newControlFlowGraphReference: FirControlFlowGraphReference?) {
        controlFlowGraphReference = newControlFlowGraphReference
    }",,6e1f
fun replaceValueParameters(newValueParameters: List<FirValueParameter>),"{
        valueParameters.clear()
        valueParameters.addAll(newValueParameters)
    }",,cbdb
No signature found,"fun replaceBody(newBody: FirBlock?) {
        body = newBody
    }",,6e1f
No signature found,"fun replaceContractDescription(newContractDescription: FirContractDescription?) {
        contractDescription = newContractDescription
    }",,6e1f
fun replaceAnnotations(newAnnotations: List<FirAnnotation>),"{
        annotations = newAnnotations.toMutableOrEmpty()
    }",,8a3d
No signature found,"fun Map<String, Set<Int>>.prettyStringForDiff() = e",,6e1f
"fun assertEquals(expected: Map<String, Set<Int>>, actual: Map<String, Set<Int>>)","{
        assertEquals(expected.prettyStringForDiff(), actual.prettyStringForDiff())
    }",,f445
fun basicTest(),"{
        val a = mapOf(
            ""a"" to setOf(1, 2),
            ""b"" to setOf(3, 4)
        )

        val b = mapOf(
            ""b"" to setOf(3, 5),
            ""c"" to setOf(6),
            ""d"" to emptySet(),
        )

        val actual = a mergeWith b
        val expected = mapOf(
            ""a"" to setOf(1, 2),
            ""b"" to setOf(3, 4, 5),
            ""c"" to setOf(6),
            ""d"" to emptySet()
        )

        assertEquals(expected, actual)
    }",,568f
fun mergeWithSelf(),= a,,10bd
fun mergeWithEmpty(),"{
        assertEquals(sample, emptyMap<String, Set<Int>>() mergeWith sample)
        assertEquals(sample, sample mergeWith emptyMap())
        assertEquals(emptyMap(), emptyMap<String, Set<Int>>() mergeWith emptyMap())
    }",,60b8
fun s<caret>tr(),: String = 4,,62cb
fun <reified T> typeOf(),": kotlin.reflect.KType

@kotlin.SinceKotlin(version = """,,45ff
No signature found,"fun <T : kotlin.Any> kotlin.reflect.KClass<T>.cast(value: kotlin.Any?): T

@kotlin.SinceKotlin(version = """,,6e1f
No signature found,"fun <T : kotlin.Any> kotlin.reflect.KClass<T>.createInstance(): T

@kotlin.reflect.ExperimentalAssociatedObjects
public inline fun <reified T : kotlin.Annotation> kotlin.reflect.KClass<*>.findAssociatedObject(): kotlin.Any?

@kotlin.SinceKotlin(version = """,,6e1f
No signature found,"fun <T : kotlin.Any> kotlin.reflect.KClass<T>.safeCast(value: kotlin.Any?): T?

@kotlin.reflect.ExperimentalAssociatedObjects
@kotlin.annotation.Retention(value = A",,6e1f
fun hashCode(),"fun equals(other: kotlin.Any?): kotlin.Boolean

    public abstract override : kotlin.Int

    @kotlin.SinceKotlin(version = """,,6874
No signature found,"fun isInstance(value: kotlin.Any?): kotlin.Boolean
}

@kotlin.SinceKotlin(version = """,,6e1f
fun set(value: V),": kotlin.Unit
}

public interface KMutableProperty1<T, V> : kotlin.reflect.KProperty1<T, V>, kotlin.reflect.KMutableProperty<V> {
    public abstract fun set(receiver: T, value: V): kotlin.Unit
}",,ee69
