signature,body,docstring,id
fun testYield(),"{
    val arg: UserKlass = UserKlass()
    val buildee = build {
        yield(id(arg))
    }","// FIR_IDENTICAL
// CHECK_TYPE_WITH_EXACT",e673
fun testMaterialize(),"{
    fun consume(arg: UserKlass) {}","// exact type equality check — turns unexpected compile-time behavior into red code
    // considered to be non-user-reproducible code for the purposes of these tests",2ed8
fun test(),"{
    val buildee = build {
        setTypeVariable(TargetType())
        extensionSetOutProjectedTypeVariable(DifferentType())
    }","// ISSUE: KT-57707
// CHECK_TYPE_WITH_EXACT",fe98
fun setTypeVariable(value: TV),{ storage = value },"// exact type equality check — turns unexpected compile-time behavior into red code
    // considered to be non-user-reproducible code for the purposes of these tests",7aec
fun clone(),: B = t,// TARGET_BACKEND: JVM,0d77
fun suspendHere(),: String = s,"// This test checks, that different variables occupy the same slot
// In JVM_IR, however, loop variable's lifetime goes beyond the loop itself, thus the test has no sense in JVM_IR
// IGNORE_BACKEND: JVM_IR
// WITH_COROUTINES",3da9
fun bar(x: Int),= x,// !DIAGNOSTICS: -DEBUG_INFO_SMARTCAST,948a
fun test(),"{
    Foo { it }",// FILE: Condition.java,fe98
fun box(),": String {
    val c = C(""a"", 42u)
    if (c.y0 != 42u) throw AssertionError()

    return ""OK""
}",// WITH_STDLIB,4f27
fun <T> bind(r: Option<T>),": Option<T> {
    return if (r is Some) {
        // Ideally we should infer Option<T> here (see KT-10896)
        (if (true) None() else r) checkType { _<Option<T>>() }","// !CHECK_TYPE
// See also KT-10896: Wrong inference of if / else result type",04e8
fun <T> bind2(r: Option<T>),": Option<T> {
    return if (r is Some) {
        // Works correctly
        if (true) None<T>() else r
    }",// Works correctly,bb46
fun twoReturnsValue(b: Boolean),"{
    contract {
        returns(true) implies b
        returns(false) implies (!b)
    }","// !LANGUAGE: +AllowContractsForCustomFunctions +ReadDeserializedContracts
// !OPT_IN: kotlin.contracts.ExperimentalContracts",40cb
fun test(),"{
    run {<!RETURN_NOT_ALLOWED!>return<!>}",// FIR_IDENTICAL,fe98
fun onUseAsTainted(),"{
            hazard = true
        }","// Tracks proper usages of objects corresponding to captured variables.
    //
    // The 'kotlin.jvm.internal.Ref.*' instance can be replaced with a local variable, if
    //  * it is created inside a current method;
    //  * the only operations on it are ALOAD, ASTORE, DUP, POP, GETFIELD element, PUTFIELD element.
    //
    // Note that for code that doesn't create Ref objects explicitly these conditions are true,
    // unless the Ref object escapes to a local class constructor (including local classes for lambdas).
    //",005e
fun run(),"fun test(noinline c: () -> Unit) {
    c()
    val o = object : Runnable {
        override  {
            c()
        }","// !DIAGNOSTICS: -UNUSED_VARIABLE -NOTHING_TO_INLINE
// SKIP_TXT
// WITH_COROUTINES",354f
fun main(),"{
    class A
    
    class B {
        val x = ::A
        val f: KFunction0<A> = x
    }",// FIR_IDENTICAL,d987
fun withSideEffect(param: Int),": String? {
    sideEffectsHolder.add(param)
    return ""Result $param""
}",// WITH_STDLIB,aa86
fun f(),= 1,// FIR_IDENTICAL,f6fb
fun foo(),": String
}

interface J {
    fun bar(): String
}","// EXPECTED_REACHABLE_NODES: 1284
// FILE: castToTypeParamBoundedByNativeInterface.kt",519f
fun foo(),": E1
    val bar: E1
}

interface MyList<out E2> : MyCollection<E2> {
    override : E2
    override val bar: E2
}","// FIR_IDENTICAL
// ISSUE: KT-55828
// DUMP_IR
// JVM_ABI_K1_K2_DIFF: KT-63828",519f
fun addAll(c: Collection<T>),"{
        list.addAll(c)
    }","// KJS_WITH_FULL_RUNTIME
// EXPECTED_REACHABLE_NODES: 1677",e672
fun bar(),: Base = o,"// FIR_IDENTICAL
// FIR_DUMP",66c3
fun f(c: LongRange),": Int {
    return c.<!FUNCTION_EXPECTED!>start<!>()
}",// FIR_IDENTICAL,aafc
fun box(),": String {
    return ""OK""
}","// TARGET_BACKEND: JVM
// IGNORE_LIGHT_ANALYSIS
// FILE: Bar.java",4f27
fun box(),": String {
    var xz = Z(0)
    var xl = L(0L)
    var xs = Str("""")
    var xo = Obj("""")

    val fn = {
        xz = Z(42)
        xl = L(1234L)
        xs = Str(""abc"")
        xo = Obj(""def"")
    }","// WITH_STDLIB
// WORKS_WHEN_VALUE_CLASS
// LANGUAGE: +ValueClasses, +GenericInlineClassParameter",4f27
fun component1(),": Int {
        log += ""($id).component1();""
        return 1
    }",// EXPECTED_REACHABLE_NODES: 1297,fd7c
fun foo(),"{
    var i = 1
    while (i < 10) {
        bar()
        i = i.inc()
    }",// FIR_IDENTICAL,519f
